geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-002690,2010,40100016,4,8,12,8,6,14
HND-002690,2011,40100016,,,,138,139,277
HND-002691,2009,40100017,,,,394,406,800
HND-002691,2010,40100017,9,20,29,3,6,9
HND-002691,2011,40100017,,,,415,373,788
HND-002692,2009,40100018,,,,429,540,969
HND-002692,2010,40100018,5,28,33,1,6,7
HND-002692,2011,40100018,,,,427,505,932
HND-002693,2009,40100019,,,,23,21,44
HND-002693,2010,40100019,0,1,1,4,8,12
HND-002693,2011,40100019,,,,23,20,43
HND-002694,2009,40100020,,,,19,21,40
HND-002694,2010,40100020,1,0,1,18,14,32
HND-002694,2011,40100020,,,,20,18,38
HND-002695,2009,40100021,,,,202,218,420
HND-002695,2010,40100021,3,14,17,10,9,19
HND-002695,2011,40100021,,,,195,211,406
HND-002696,2009,40100022,,,,31,32,63
HND-002696,2010,40100022,0,2,2,10,11,21
HND-002696,2011,40100022,,,,34,27,61
HND-002697,2009,40100023,,,,30,26,56
HND-002697,2010,40100023,1,1,2,77,81,158
HND-002697,2011,40100023,,,,30,22,52
HND-002698,2009,40100024,,,,36,27,63
HND-002698,2010,40100024,1,1,2,12,7,19
HND-002698,2011,40100024,,,,33,27,60
HND-002699,2009,40100025,,,,38,28,66
HND-002699,2010,40100025,0,2,2,88,81,169
HND-002699,2011,40100025,,,,43,22,65
HND-002700,2009,40100026,,,,16,21,37
HND-002700,2010,40100026,1,0,1,30,20,50
HND-002700,2011,40100026,,,,15,15,30
HND-002701,2009,40100028,,,,76,77,153
HND-002701,2010,40100028,1,3,4,8,9,17
HND-002701,2011,40100028,,,,80,71,151
HND-002702,2009,40100029,,,,38,32,70
HND-002702,2010,40100029,0,2,2,54,45,99
HND-002702,2011,40100029,,,,36,28,64
HND-002703,2009,40100030,,,,82,52,134
HND-002703,2010,40100030,8,8,16,69,65,134
HND-002703,2011,40100030,,,,71,54,125
HND-002704,2009,40100031,,,,10,16,26
HND-002704,2010,40100031,1,0,1,68,99,167
HND-002704,2011,40100031,,,,11,19,30
HND-002705,2009,40100032,,,,39,33,72
HND-002705,2010,40100032,0,3,3,60,64,124
HND-002705,2011,40100032,,,,49,44,93
HND-002706,2009,40100033,,,,15,11,26
HND-002706,2010,40100033,0,1,1,67,83,150
HND-002706,2011,40100033,,,,12,11,23
HND-002707,2009,40100034,,,,38,38,76
HND-002707,2011,40100034,,,,32,34,66
HND-002708,2009,40100035,,,,11,17,28
HND-002708,2010,40100035,0,1,1,53,74,127
HND-002708,2011,40100035,,,,10,17,27
HND-002709,2009,40100036,,,,0,0,0
HND-002709,2010,40100036,0,1,1,35,31,66
HND-002709,2011,40100036,,,,14,12,26
HND-002710,2009,40100037,,,,54,53,107
HND-002710,2010,40100037,0,3,3,15,13,28
HND-002710,2011,40100037,,,,47,62,109
HND-002711,2009,40100038,,,,24,26,50
HND-002711,2010,40100038,1,0,1,35,32,67
HND-002711,2011,40100038,,,,21,18,39
HND-002712,2009,40100039,,,,21,16,37
HND-002712,2010,40100039,1,0,1,393,398,791
HND-002712,2011,40100039,,,,21,21,42
HND-002713,2009,40100041,,,,850,1006,1856
HND-002713,2011,40100041,,,,780,858,1638
HND-002714,2009,40100042,,,,46,41,87
HND-002714,2011,40100042,,,,51,37,88
HND-002715,2009,40100043,,,,284,268,552
HND-002715,2011,40100043,,,,247,235,482
HND-002716,2009,40100044,,,,18,17,35
HND-002716,2011,40100044,,,,11,22,33
HND-002717,2009,40100046,,,,57,58,115
HND-002717,2011,40100046,,,,56,58,114
HND-002718,2009,40100047,,,,33,38,71
HND-002718,2011,40100047,,,,38,32,70
HND-002719,2009,40100048,,,,10,11,21
HND-002719,2011,40100048,,,,14,24,38
HND-002720,2009,40100049,,,,42,48,90
HND-002720,2011,40100049,,,,51,38,89
HND-002721,2009,40100051,,,,54,51,105
HND-002721,2011,40100051,,,,51,49,100
HND-002722,2009,40100052,,,,33,37,70
HND-002722,2011,40100052,,,,29,39,68
HND-002723,2009,40100053,,,,27,23,50
HND-002723,2011,40100053,,,,29,21,50
HND-002724,2009,40100055,,,,19,12,31
HND-002724,2011,40100055,,,,14,16,30
HND-002725,2009,40100056,,,,24,31,55
HND-002725,2011,40100056,,,,27,28,55
HND-002726,2009,40100057,,,,27,18,45
HND-002726,2011,40100057,,,,24,18,42
HND-002727,2009,40100058,,,,14,17,31
HND-002727,2011,40100058,,,,20,17,37
HND-002728,2009,40100060,,,,21,12,33
HND-002728,2011,40100060,,,,19,14,33
HND-002729,2009,40100066,,,,5,7,12
HND-002730,2009,40100068,,,,11,15,26
HND-002730,2011,40100068,,,,14,14,28
HND-002731,2011,40100071,,,,8,8,16
HND-002732,,40100072,,,,,,
HND-002733,2009,40100073,,,,16,11,27
HND-002734,2009,40100074,,,,24,30,54
HND-002734,2011,40100074,,,,19,23,42
HND-002735,2009,40100075,,,,78,0,78
HND-002735,2011,40100075,,,,65,1,66
HND-002736,2009,40100077,,,,571,640,1211
HND-002736,2011,40100077,,,,943,1121,2064
HND-002737,,40100079,,,,,,
HND-002738,2009,40100080,,,,10,18,28
HND-002738,2011,40100080,,,,13,19,32
HND-002739,2009,40100081,,,,20,13,33
HND-002739,2010,40100081,0,1,1,65,56,121
HND-002739,2011,40100081,,,,19,18,37
HND-002740,,40100082,,,,,,
HND-002741,2009,40100085,,,,3,5,8
HND-002742,,40100086,,,,,,
HND-002743,2009,40100094,,,,9,8,17
HND-002743,2011,40100094,,,,12,9,21
HND-002744,,40100103,,,,,,
HND-002745,2009,40100122,,,,10,11,21
HND-002745,2010,40100122,1,0,1,116,95,211
HND-002745,2011,40100122,,,,8,10,18
HND-002746,2009,40100123,,,,20,21,41
HND-002746,2010,40100123,0,2,2,44,51,95
HND-002746,2011,40100123,,,,17,18,35
HND-002747,2009,40100130,,,,10,6,16
HND-002747,2011,40100130,,,,7,7,14
HND-002748,,40100131,,,,,,
HND-002749,2009,40100132,,,,9,5,14
HND-002750,2009,40100134,,,,27,30,57
HND-002750,2011,40100134,,,,29,25,54
HND-002751,,40100147,,,,,,
HND-002752,2009,40100151,,,,0,0,0
HND-002752,2011,40100151,,,,6,1,7
HND-002753,2009,40100157,,,,16,8,24
HND-002753,2010,40100157,0,1,1,33,32,65
HND-002753,2011,40100157,,,,14,8,22
HND-002754,2009,40100159,,,,34,31,65
HND-002754,2010,40100159,0,3,3,21,21,42
HND-002754,2011,40100159,,,,34,23,57
HND-002755,2009,40100160,,,,39,33,72
HND-002755,2010,40100160,0,3,3,37,39,76
HND-002755,2011,40100160,,,,43,38,81
HND-002756,2009,40100161,,,,17,8,25
HND-002756,2011,40100161,,,,13,11,24
HND-002757,2009,40100162,,,,9,4,13
HND-002757,2011,40100162,,,,5,11,16
HND-002758,,40100169,,,,,,
HND-002759,,40100176,,,,,,
HND-002760,,40100178,,,,,,
HND-002761,,40100182,,,,,,
HND-002762,2011,40100183,,,,4,9,13
HND-002763,,40100192,,,,,,
HND-002764,2009,40200001,,,,215,206,421
HND-002764,2010,40200001,4,13,17,155,164,319
HND-002764,2011,40200001,,,,179,195,374
HND-002765,2009,40200002,,,,39,32,71
HND-002765,2010,40200002,0,1,1,15,33,48
HND-002765,2011,40200002,,,,37,38,75
HND-002766,2009,40200003,,,,29,31,60
HND-002766,2010,40200003,1,0,1,10,10,20
HND-002766,2011,40200003,,,,21,26,47
HND-002767,2009,40200005,,,,90,105,195
HND-002767,2010,40200005,3,4,7,164,185,349
HND-002767,2011,40200005,,,,81,79,160
HND-002768,2009,40200006,,,,20,18,38
HND-002768,2010,40200006,1,0,1,33,34,67
HND-002768,2011,40200006,,,,19,12,31
HND-002769,2009,40200007,,,,34,55,89
HND-002769,2010,40200007,1,1,2,15,20,35
HND-002769,2011,40200007,,,,44,59,103
HND-002770,2009,40200009,,,,17,23,40
HND-002770,2010,40200009,0,1,1,57,43,100
HND-002770,2011,40200009,,,,13,18,31
HND-002771,2009,40200010,,,,24,27,51
HND-002771,2010,40200010,1,0,1,179,176,355
HND-002771,2011,40200010,,,,28,26,54
HND-002772,2009,40200011,,,,54,54,108
HND-002772,2010,40200011,1,1,2,47,43,90
HND-002772,2011,40200011,,,,53,56,109
HND-002773,2009,40200012,,,,54,52,106
HND-002773,2010,40200012,1,2,3,431,348,779
HND-002773,2011,40200012,,,,55,56,111
HND-002774,2009,40200014,,,,37,44,81
HND-002774,2010,40200014,1,0,1,63,88,151
HND-002774,2011,40200014,,,,46,43,89
